time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
23:32:14,30.5,96.2,139,13,kafka=35.26%/498.6MiB / 4.804GiB ; elasticsearch=3.26%/1.534GiB / 4.804GiB ; zookeeper=0.13%/98.14MiB / 4.804GiB
23:32:18,20.2,96.1,139,2,kafka=0.90%/498.6MiB / 4.804GiB ; elasticsearch=4.13%/1.534GiB / 4.804GiB ; zookeeper=0.12%/98.15MiB / 4.804GiB
23:32:22,22.4,96.0,139,2,kafka=51.12%/528MiB / 4.804GiB ; elasticsearch=3.97%/1.534GiB / 4.804GiB ; zookeeper=0.25%/98.14MiB / 4.804GiB
23:32:27,24.8,96.4,139,2,kafka=1.01%/498.6MiB / 4.804GiB ; elasticsearch=3.90%/1.534GiB / 4.804GiB ; zookeeper=0.13%/98.14MiB / 4.804GiB
23:32:31,21.1,96.1,131,2,kafka=0.79%/498.6MiB / 4.804GiB ; elasticsearch=3.84%/1.534GiB / 4.804GiB ; zookeeper=0.11%/98.15MiB / 4.804GiB
23:32:36,24.3,96.2,137,3,kafka=105.95%/498.6MiB / 4.804GiB ; elasticsearch=4.45%/1.534GiB / 4.804GiB ; zookeeper=0.13%/98.16MiB / 4.804GiB
23:32:39,26.4,96.0,137,3,kafka=0.74%/498.6MiB / 4.804GiB ; elasticsearch=6.06%/1.537GiB / 4.804GiB ; zookeeper=0.12%/98.16MiB / 4.804GiB
23:32:44,23.0,96.1,137,7,kafka=0.71%/498.6MiB / 4.804GiB ; elasticsearch=4.21%/1.537GiB / 4.804GiB ; zookeeper=0.68%/98.16MiB / 4.804GiB
23:32:48,27.1,96.4,137,9,kafka=0.73%/498.6MiB / 4.804GiB ; elasticsearch=6.85%/1.538GiB / 4.804GiB ; zookeeper=0.76%/98.16MiB / 4.804GiB
23:32:52,32.0,96.2,137,10,kafka=0.79%/498.6MiB / 4.804GiB ; elasticsearch=9.25%/1.538GiB / 4.804GiB ; zookeeper=0.14%/98.16MiB / 4.804GiB
23:32:57,19.3,96.2,137,7,kafka=167.80%/556.1MiB / 4.804GiB ; elasticsearch=3.28%/1.538GiB / 4.804GiB ; zookeeper=0.17%/98.17MiB / 4.804GiB
23:33:01,32.5,96.2,144,7,kafka=0.70%/498.6MiB / 4.804GiB ; elasticsearch=3.68%/1.538GiB / 4.804GiB ; zookeeper=0.12%/98.16MiB / 4.804GiB
23:33:06,22.0,95.4,145,8,kafka=0.78%/498.6MiB / 4.804GiB ; elasticsearch=4.50%/1.538GiB / 4.804GiB ; zookeeper=0.11%/98.16MiB / 4.804GiB
23:33:09,29.3,95.7,132,4,kafka=0.94%/498.6MiB / 4.804GiB ; elasticsearch=3.90%/1.538GiB / 4.804GiB ; zookeeper=0.14%/98.16MiB / 4.804GiB
23:33:14,24.2,95.6,132,8,kafka=0.93%/498.6MiB / 4.804GiB ; elasticsearch=9.14%/1.538GiB / 4.804GiB ; zookeeper=0.12%/98.17MiB / 4.804GiB
23:33:18,23.6,95.9,133,5,kafka=106.15%/537.4MiB / 4.804GiB ; elasticsearch=6.80%/1.538GiB / 4.804GiB ; zookeeper=0.11%/98.16MiB / 4.804GiB
23:33:22,32.9,95.9,133,5,kafka=0.77%/498.6MiB / 4.804GiB ; elasticsearch=4.51%/1.538GiB / 4.804GiB ; zookeeper=0.26%/98.16MiB / 4.804GiB
23:33:27,21.3,95.7,140,9,kafka=0.98%/498.6MiB / 4.804GiB ; elasticsearch=4.20%/1.538GiB / 4.804GiB ; zookeeper=0.14%/98.17MiB / 4.804GiB
23:33:31,27.8,95.6,141,5,kafka=0.84%/498.7MiB / 4.804GiB ; elasticsearch=3.97%/1.538GiB / 4.804GiB ; zookeeper=0.49%/98.16MiB / 4.804GiB
23:33:36,24.5,95.7,141,6,kafka=1.85%/499.1MiB / 4.804GiB ; elasticsearch=5.41%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.17MiB / 4.804GiB
