time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
13:10:37,19.6,72.6,524,28,kafka=0.64%/548.4MiB / 4.804GiB ; elasticsearch=2.45%/1.521GiB / 4.804GiB ; zookeeper=0.12%/95.2MiB / 4.804GiB
13:10:42,14.9,72.8,524,29,kafka=0.65%/548.4MiB / 4.804GiB ; elasticsearch=2.64%/1.52GiB / 4.804GiB ; zookeeper=0.12%/95.2MiB / 4.804GiB
13:10:46,13.8,73.0,523,31,kafka=128.67%/602.2MiB / 4.804GiB ; elasticsearch=3.55%/1.52GiB / 4.804GiB ; zookeeper=0.07%/95.2MiB / 4.804GiB
13:10:50,23.2,72.9,522,29,kafka=0.75%/548.4MiB / 4.804GiB ; elasticsearch=3.12%/1.521GiB / 4.804GiB ; zookeeper=0.12%/95.21MiB / 4.804GiB
13:10:55,15.4,73.1,522,30,kafka=0.91%/548.4MiB / 4.804GiB ; elasticsearch=2.69%/1.52GiB / 4.804GiB ; zookeeper=0.10%/95.21MiB / 4.804GiB
13:10:59,20.7,73.1,523,29,kafka=0.70%/548.4MiB / 4.804GiB ; elasticsearch=2.48%/1.521GiB / 4.804GiB ; zookeeper=0.10%/95.21MiB / 4.804GiB
13:11:04,20.1,73.3,522,30,kafka=0.78%/548.4MiB / 4.804GiB ; elasticsearch=2.73%/1.521GiB / 4.804GiB ; zookeeper=0.12%/95.21MiB / 4.804GiB
13:11:07,13.4,73.0,522,27,kafka=158.17%/608.4MiB / 4.804GiB ; elasticsearch=2.11%/1.52GiB / 4.804GiB ; zookeeper=0.08%/95.21MiB / 4.804GiB
13:11:12,21.0,73.3,524,30,kafka=0.90%/548.4MiB / 4.804GiB ; elasticsearch=2.81%/1.521GiB / 4.804GiB ; zookeeper=0.13%/95.86MiB / 4.804GiB
13:11:16,13.0,73.5,523,32,kafka=0.74%/548.4MiB / 4.804GiB ; elasticsearch=2.80%/1.52GiB / 4.804GiB ; zookeeper=0.54%/95.25MiB / 4.804GiB
13:11:20,22.1,73.4,524,30,kafka=0.57%/548.4MiB / 4.804GiB ; elasticsearch=2.32%/1.521GiB / 4.804GiB ; zookeeper=0.10%/95.32MiB / 4.804GiB
13:11:25,15.4,73.4,524,29,kafka=0.69%/548.4MiB / 4.804GiB ; elasticsearch=2.52%/1.521GiB / 4.804GiB ; zookeeper=0.10%/95.32MiB / 4.804GiB
13:11:29,12.9,73.4,524,32,kafka=180.89%/630.1MiB / 4.804GiB ; elasticsearch=2.17%/1.52GiB / 4.804GiB ; zookeeper=0.22%/95.31MiB / 4.804GiB
13:11:34,18.1,73.5,524,28,kafka=0.64%/548.4MiB / 4.804GiB ; elasticsearch=2.71%/1.52GiB / 4.804GiB ; zookeeper=0.20%/95.43MiB / 4.804GiB
13:11:37,13.7,72.9,522,27,kafka=0.67%/548.4MiB / 4.804GiB ; elasticsearch=2.64%/1.521GiB / 4.804GiB ; zookeeper=0.10%/95.43MiB / 4.804GiB
13:11:42,20.8,73.1,522,30,kafka=0.63%/548.5MiB / 4.804GiB ; elasticsearch=4.34%/1.521GiB / 4.804GiB ; zookeeper=0.09%/95.43MiB / 4.804GiB
13:11:46,12.3,73.4,521,30,kafka=0.90%/548.5MiB / 4.804GiB ; elasticsearch=2.67%/1.52GiB / 4.804GiB ; zookeeper=0.11%/95.43MiB / 4.804GiB
13:11:50,13.5,73.2,522,31,kafka=98.37%/593.1MiB / 4.804GiB ; elasticsearch=2.74%/1.52GiB / 4.804GiB ; zookeeper=0.12%/95.43MiB / 4.804GiB
13:11:55,16.5,73.2,522,30,kafka=1.27%/549.4MiB / 4.804GiB ; elasticsearch=2.74%/1.521GiB / 4.804GiB ; zookeeper=0.11%/95.43MiB / 4.804GiB
13:11:59,14.0,73.1,524,32,kafka=0.75%/549.4MiB / 4.804GiB ; elasticsearch=2.74%/1.52GiB / 4.804GiB ; zookeeper=0.53%/95.44MiB / 4.804GiB
13:12:04,18.9,73.2,524,30,kafka=0.78%/549.4MiB / 4.804GiB ; elasticsearch=2.60%/1.521GiB / 4.804GiB ; zookeeper=0.10%/95.44MiB / 4.804GiB
13:12:07,13.1,72.8,524,27,kafka=0.81%/549.4MiB / 4.804GiB ; elasticsearch=2.57%/1.52GiB / 4.804GiB ; zookeeper=0.52%/95.44MiB / 4.804GiB
