time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
12:56:19,21.6,71.1,538,29,kafka=0.72%/539MiB / 4.804GiB ; elasticsearch=2.65%/1.514GiB / 4.804GiB ; zookeeper=0.27%/91.21MiB / 4.804GiB
12:56:23,11.7,71.0,540,28,kafka=0.71%/539MiB / 4.804GiB ; elasticsearch=2.58%/1.514GiB / 4.804GiB ; zookeeper=0.13%/91.21MiB / 4.804GiB
12:56:27,23.5,71.4,535,31,kafka=0.61%/539MiB / 4.804GiB ; elasticsearch=2.53%/1.515GiB / 4.804GiB ; zookeeper=0.10%/91.21MiB / 4.804GiB
12:56:31,17.3,71.2,537,28,kafka=0.57%/539MiB / 4.804GiB ; elasticsearch=4.86%/1.515GiB / 4.804GiB ; zookeeper=0.49%/91.23MiB / 4.804GiB
12:56:35,14.6,71.0,537,31,kafka=141.70%/595.8MiB / 4.804GiB ; elasticsearch=2.31%/1.515GiB / 4.804GiB ; zookeeper=0.44%/91.21MiB / 4.804GiB
12:56:40,21.2,71.1,536,30,kafka=0.91%/539MiB / 4.804GiB ; elasticsearch=2.58%/1.515GiB / 4.804GiB ; zookeeper=0.13%/91.21MiB / 4.804GiB
12:56:44,10.8,71.1,536,29,kafka=0.88%/539MiB / 4.804GiB ; elasticsearch=2.74%/1.515GiB / 4.804GiB ; zookeeper=0.09%/91.27MiB / 4.804GiB
12:56:49,22.4,71.2,534,32,kafka=1.04%/539.1MiB / 4.804GiB ; elasticsearch=2.67%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.27MiB / 4.804GiB
12:56:53,10.4,71.2,536,32,kafka=0.68%/539.1MiB / 4.804GiB ; elasticsearch=2.55%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
12:56:57,13.5,71.2,534,29,kafka=164.91%/602.5MiB / 4.804GiB ; elasticsearch=2.57%/1.515GiB / 4.804GiB ; zookeeper=0.20%/91.27MiB / 4.804GiB
12:57:01,20.1,71.2,537,32,kafka=0.62%/539.1MiB / 4.804GiB ; elasticsearch=2.47%/1.515GiB / 4.804GiB ; zookeeper=0.12%/91.27MiB / 4.804GiB
12:57:05,18.4,71.1,536,33,kafka=0.69%/539.1MiB / 4.804GiB ; elasticsearch=2.71%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.27MiB / 4.804GiB
12:57:10,18.7,71.2,537,31,kafka=1.56%/538.4MiB / 4.804GiB ; elasticsearch=2.52%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.11MiB / 4.804GiB
12:57:14,12.0,71.3,536,28,kafka=0.66%/538.6MiB / 4.804GiB ; elasticsearch=2.83%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.23MiB / 4.804GiB
12:57:19,15.5,71.4,536,30,kafka=61.30%/573MiB / 4.804GiB ; elasticsearch=2.32%/1.515GiB / 4.804GiB ; zookeeper=0.14%/91.25MiB / 4.804GiB
12:57:23,16.6,71.4,536,27,kafka=0.72%/538.7MiB / 4.804GiB ; elasticsearch=2.58%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.25MiB / 4.804GiB
12:57:27,18.3,71.5,536,29,kafka=1.22%/539.5MiB / 4.804GiB ; elasticsearch=2.66%/1.515GiB / 4.804GiB ; zookeeper=0.13%/91.26MiB / 4.804GiB
12:57:31,21.0,71.4,536,33,kafka=0.59%/539.5MiB / 4.804GiB ; elasticsearch=2.88%/1.515GiB / 4.804GiB ; zookeeper=0.52%/91.26MiB / 4.804GiB
12:57:35,16.8,71.2,535,32,kafka=0.91%/539.5MiB / 4.804GiB ; elasticsearch=2.73%/1.515GiB / 4.804GiB ; zookeeper=0.20%/91.26MiB / 4.804GiB
12:57:40,14.0,71.0,536,30,kafka=133.86%/596.6MiB / 4.804GiB ; elasticsearch=3.53%/1.515GiB / 4.804GiB ; zookeeper=0.08%/91.26MiB / 4.804GiB
12:57:44,18.0,71.3,537,29,kafka=0.62%/539.6MiB / 4.804GiB ; elasticsearch=2.35%/1.515GiB / 4.804GiB ; zookeeper=0.12%/91.25MiB / 4.804GiB
12:57:49,13.3,71.4,540,31,kafka=0.96%/539.6MiB / 4.804GiB ; elasticsearch=2.54%/1.515GiB / 4.804GiB ; zookeeper=0.12%/91.25MiB / 4.804GiB
12:57:53,15.6,71.4,540,28,kafka=0.60%/538.9MiB / 4.804GiB ; elasticsearch=3.10%/1.515GiB / 4.804GiB ; zookeeper=0.27%/91.1MiB / 4.804GiB
12:57:57,16.0,71.3,536,29,kafka=0.67%/538.9MiB / 4.804GiB ; elasticsearch=2.61%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
12:58:01,12.9,71.3,536,32,kafka=2.88%/541MiB / 4.804GiB ; elasticsearch=2.98%/1.515GiB / 4.804GiB ; zookeeper=0.08%/91.26MiB / 4.804GiB
12:58:05,21.6,71.5,535,33,kafka=0.74%/538.9MiB / 4.804GiB ; elasticsearch=2.95%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
12:58:10,13.6,71.3,536,28,kafka=0.77%/538.9MiB / 4.804GiB ; elasticsearch=2.94%/1.515GiB / 4.804GiB ; zookeeper=0.54%/91.25MiB / 4.804GiB
12:58:14,17.3,71.3,538,28,kafka=0.71%/538.9MiB / 4.804GiB ; elasticsearch=2.48%/1.515GiB / 4.804GiB ; zookeeper=1.27%/91.25MiB / 4.804GiB
12:58:19,15.3,71.4,538,29,kafka=0.73%/538.9MiB / 4.804GiB ; elasticsearch=2.52%/1.515GiB / 4.804GiB ; zookeeper=0.95%/91.26MiB / 4.804GiB
12:58:23,11.8,71.4,540,32,kafka=67.73%/573.7MiB / 4.804GiB ; elasticsearch=4.04%/1.515GiB / 4.804GiB ; zookeeper=0.52%/91.26MiB / 4.804GiB
12:58:27,18.8,71.4,534,27,kafka=0.77%/539MiB / 4.804GiB ; elasticsearch=2.64%/1.515GiB / 4.804GiB ; zookeeper=0.47%/91.26MiB / 4.804GiB
12:58:31,12.3,71.4,537,31,kafka=0.62%/538.9MiB / 4.804GiB ; elasticsearch=2.61%/1.515GiB / 4.804GiB ; zookeeper=0.26%/91.26MiB / 4.804GiB
12:58:35,18.8,71.6,536,29,kafka=0.83%/539MiB / 4.804GiB ; elasticsearch=3.06%/1.515GiB / 4.804GiB ; zookeeper=0.15%/91.26MiB / 4.804GiB
12:58:40,13.0,71.4,539,29,kafka=0.93%/539MiB / 4.804GiB ; elasticsearch=2.37%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
12:58:44,12.6,71.3,536,28,kafka=145.51%/595.7MiB / 4.804GiB ; elasticsearch=3.05%/1.515GiB / 4.804GiB ; zookeeper=0.09%/91.25MiB / 4.804GiB
12:58:49,20.6,71.4,538,30,kafka=0.61%/539MiB / 4.804GiB ; elasticsearch=3.06%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.25MiB / 4.804GiB
12:58:53,11.8,71.4,538,28,kafka=0.60%/539MiB / 4.804GiB ; elasticsearch=2.74%/1.515GiB / 4.804GiB ; zookeeper=0.14%/91.26MiB / 4.804GiB
12:58:57,18.5,71.4,538,30,kafka=0.68%/539.2MiB / 4.804GiB ; elasticsearch=3.00%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.25MiB / 4.804GiB
